curso,dia,hora
P136,1,9
P151,1,9
P156,1,9
P159,1,9
P162,1,9
P169,1,9
P177,1,9
P183,1,9
P184,1,9
P185,1,9
P186,1,9
P187,1,9
P188,1,9
P189,1,9
P190,1,9
P191,1,9
P193,1,9
P195,1,9
P20,1,9
P200,1,9
P205,1,9
P53,1,9
P54,1,9
P68,1,9
P69,1,9
P99,1,9
P61,1,12
P103,4,9
P111,4,9
P115,4,9
P130,4,9
P141,4,9
P157,4,9
P158,4,9
P167,4,9
P172,4,9
P173,4,9
P192,4,9
P194,4,9
P198,4,9
P202,4,9
P203,4,9
P204,4,9
P42,4,9
P52,4,9
P55,4,9
P58,4,9
P62,4,9
P66,4,9
P70,4,9
P74,4,9
P85,4,9
P87,4,9
P18,4,12
P100,9,9
P104,9,9
P118,9,9
P124,9,9
P126,9,9
P149,9,9
P170,9,9
P171,9,9
P174,9,9
P196,9,9
P201,9,9
P206,9,9
P207,9,9
P57,9,9
P89,9,9
P90,9,9
P155,9,12
P2,9,12
P10,12,9
P105,12,9
P106,12,9
P11,12,9
P138,12,9
P14,12,9
P161,12,9
P17,12,9
P21,12,9
P23,12,9
P28,12,9
P29,12,9
P34,12,9
P46,12,9
P59,12,9
P6,12,9
P63,12,9
P7,12,9
P76,12,9
P79,12,9
P91,12,9
P3,12,12
